Overall Qual,Gr Liv Area,1st Flr SF,Total Bsmt SF,2nd Flr SF,BsmtFin SF 1,Full Bath,Lot Area,Garage Cars,Garage Area,Year Built,Year Remod/Add,Kitchen Qual,Lot Frontage,Bsmt Unf SF,Mas Vnr Area,Neighborhood,Garage Yr Blt,Screen Porch,Wood Deck SF,SalePrice
6,1656,1656,1080.0,0,639.0,1,31770,2.0,528.0,1960,1960,4,141.0,441.0,112.0,15,1960.0,0,210,215000
5,896,896,882.0,0,468.0,1,11622,1.0,730.0,1961,1961,4,80.0,270.0,0.0,15,1961.0,120,140,105000
6,1329,1329,1329.0,0,923.0,1,14267,1.0,312.0,1958,1958,2,81.0,406.0,108.0,15,1958.0,0,393,172000
7,2110,2110,2110.0,0,1065.0,2,11160,2.0,522.0,1968,1968,0,93.0,1045.0,0.0,15,1968.0,0,0,244000
5,1629,928,928.0,701,791.0,2,13830,2.0,482.0,1997,1998,4,74.0,137.0,0.0,8,1997.0,0,212,189900
6,1604,926,926.0,678,602.0,2,9978,2.0,470.0,1998,1998,2,78.0,324.0,20.0,8,1998.0,0,360,195500
8,1338,1338,1338.0,0,616.0,2,4920,2.0,582.0,2001,2001,2,41.0,722.0,0.0,25,2001.0,0,0,213500
8,1280,1280,1280.0,0,263.0,2,5005,2.0,506.0,1992,1992,2,43.0,1017.0,0.0,25,1992.0,144,0,191500
8,1616,1616,1595.0,0,1180.0,2,5389,2.0,608.0,1995,1996,2,39.0,415.0,0.0,25,1995.0,0,237,236500
7,1804,1028,994.0,776,0.0,2,7500,2.0,442.0,1999,1999,2,60.0,994.0,0.0,8,1999.0,0,140,189000
6,1655,763,763.0,892,0.0,2,10000,2.0,440.0,1993,1994,4,75.0,763.0,0.0,8,1993.0,0,157,175900
6,1187,1187,1168.0,0,935.0,2,7980,2.0,420.0,1992,2007,4,68.0,233.0,0.0,8,1992.0,0,483,185000
6,1465,789,789.0,676,0.0,2,8402,2.0,393.0,1998,1998,4,63.0,789.0,0.0,8,1998.0,0,0,180400
7,1341,1341,1300.0,0,637.0,1,10176,2.0,506.0,1990,1990,2,85.0,663.0,0.0,8,1990.0,0,192,171500
8,1502,1502,1488.0,0,368.0,1,6820,2.0,528.0,1985,1985,2,68.0,0.0,0.0,25,1985.0,140,0,212000
8,3279,1690,1650.0,1589,1416.0,3,53504,3.0,841.0,2003,2003,0,47.0,234.0,603.0,25,2003.0,210,503,538000
8,1752,1080,559.0,672,427.0,2,12134,2.0,492.0,1988,2005,4,152.0,132.0,0.0,8,1988.0,0,325,164000
9,1856,1856,1856.0,0,1445.0,1,11394,3.0,834.0,2010,2010,0,88.0,411.0,350.0,25,2010.0,0,113,394432
4,864,864,864.0,0,120.0,1,19138,2.0,400.0,1951,1951,4,140.0,744.0,0.0,8,1951.0,0,0,141000
6,2073,2073,1542.0,0,790.0,2,13175,2.0,500.0,1978,1988,4,85.0,589.0,119.0,17,1978.0,0,349,210000
6,1844,1844,1844.0,0,705.0,2,11751,2.0,546.0,1977,1977,4,105.0,1139.0,480.0,17,1977.0,0,0,190000
7,1173,1173,1053.0,0,885.0,2,10625,2.0,528.0,1974,1974,2,85.0,0.0,81.0,17,1974.0,0,0,170000
7,1674,814,814.0,860,533.0,2,7500,2.0,663.0,2000,2000,2,68.0,281.0,0.0,24,2000.0,0,0,216000
6,1004,1004,1004.0,0,578.0,1,11241,2.0,480.0,1970,1970,4,68.0,426.0,180.0,15,1970.0,0,0,149000
5,1078,1078,1078.0,0,734.0,1,12537,2.0,500.0,1971,2008,4,68.0,344.0,0.0,15,1971.0,0,0,149900
5,1056,1056,1056.0,0,775.0,1,8450,1.0,304.0,1968,1968,4,65.0,281.0,0.0,15,1968.0,0,0,142000
4,882,882,882.0,0,804.0,1,8400,2.0,525.0,1970,1970,4,70.0,0.0,0.0,15,1970.0,0,240,126000
4,864,864,864.0,0,432.0,1,10500,0.0,0.0,1971,1971,4,70.0,432.0,0.0,15,1979.0,0,0,115000
7,1337,1337,1405.0,0,1051.0,2,5858,2.0,511.0,1999,1999,2,26.0,354.0,0.0,15,1999.0,0,203,184000
6,987,483,483.0,504,156.0,1,1680,1.0,264.0,1971,1971,4,21.0,327.0,504.0,2,1971.0,0,275,96000
5,1092,525,525.0,567,300.0,1,1680,1.0,320.0,1971,1971,4,21.0,225.0,492.0,2,1997.0,0,0,105500
6,1092,525,525.0,567,0.0,1,1680,1.0,264.0,1971,1971,4,21.0,525.0,381.0,2,1971.0,0,0,88000
6,1069,1069,1069.0,0,360.0,2,4043,2.0,440.0,1977,1977,4,53.0,709.0,0.0,16,1977.0,165,0,127500
6,1456,855,855.0,601,514.0,2,2280,2.0,440.0,1975,1975,2,24.0,341.0,0.0,16,1975.0,0,173,149900
7,836,836,836.0,0,0.0,1,2280,1.0,308.0,1975,1975,4,24.0,836.0,0.0,16,1975.0,0,0,120000
6,1456,855,855.0,601,311.0,2,2280,2.0,440.0,1978,1978,4,24.0,544.0,0.0,16,1978.0,0,26,146000
9,2334,1627,1590.0,707,0.0,2,12858,3.0,751.0,2009,2010,0,102.0,1590.0,162.0,19,2009.0,0,144,376162
8,1704,1704,1704.0,0,1218.0,2,11478,3.0,772.0,2007,2008,2,98.0,486.0,200.0,19,2008.0,0,0,306000
9,1940,1940,1930.0,0,1646.0,2,10159,3.0,606.0,2009,2010,0,83.0,284.0,450.0,19,2010.0,0,168,395192
8,1544,1544,1544.0,0,0.0,2,12883,3.0,868.0,2009,2010,2,94.0,1544.0,256.0,19,2009.0,0,0,290941
7,1541,1541,1541.0,0,1201.0,2,12182,2.0,532.0,2005,2005,2,95.0,340.0,226.0,19,2005.0,0,0,220000
9,1698,1698,1698.0,0,110.0,2,11520,3.0,730.0,2005,2005,0,90.0,1588.0,615.0,19,2005.0,0,192,275000
8,1822,1822,1822.0,0,28.0,2,14122,3.0,678.0,2005,2006,0,79.0,1794.0,240.0,19,2005.0,0,0,259000
7,1535,1535,1517.0,0,2.0,2,10171,2.0,532.0,2004,2004,2,70.0,1515.0,168.0,19,2004.0,0,0,214000
9,2364,2364,2330.0,0,2188.0,2,12919,3.0,820.0,2009,2010,0,100.0,142.0,760.0,19,2009.0,0,0,611657
7,1358,1358,1358.0,0,733.0,2,6371,2.0,484.0,2009,2010,2,44.0,625.0,128.0,19,2010.0,0,192,224000
9,2696,2696,2846.0,0,1373.0,2,14300,3.0,958.0,2003,2004,0,110.0,1473.0,1095.0,19,2003.0,0,220,500000
8,2250,1687,1671.0,563,578.0,2,13650,3.0,756.0,2002,2002,2,105.0,1093.0,232.0,19,2002.0,0,238,320000
9,1752,1752,1752.0,0,456.0,2,7658,2.0,576.0,2005,2005,0,61.0,1296.0,412.0,19,2005.0,0,196,319900
8,1370,1370,1370.0,0,24.0,2,7132,2.0,484.0,2006,2006,2,41.0,1346.0,178.0,19,2006.0,0,120,205000
7,1626,764,764.0,862,0.0,2,2628,2.0,474.0,2003,2003,2,36.0,764.0,106.0,19,2003.0,0,0,175500
6,1324,1324,1324.0,0,0.0,2,18494,2.0,430.0,2005,2005,2,100.0,1324.0,0.0,8,2005.0,0,36,199500
7,1145,1145,1145.0,0,16.0,2,3203,2.0,437.0,2006,2006,2,43.0,1129.0,14.0,0,2006.0,0,100,160000
8,1269,1269,1256.0,0,24.0,2,3182,2.0,430.0,2004,2005,2,43.0,1232.0,16.0,0,2004.0,144,146,192000
7,1374,744,384.0,630,326.0,2,13300,2.0,400.0,2004,2004,2,67.0,58.0,0.0,8,2004.0,0,100,184500
